bulleted_details,description,price,rating,review_count,review_text,sale,url,watch_model
"Gray ion-plated stainless steel link bracelet with push-button deployant clasp,Round case, 43mm, K1 crystal,Gray dial with stamped hour/minute indices, two hands and dot marker,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 2539390",A dusky shade of gray covers Movado's steel Bold collection timepiece.,$795.00,100%,11,"You won't be disappointed!, Beautifully made, classic design, comfortable to wear. I bought this for my 19 year-old son and he loves the simplicity of it and the color is stunning. It is a tonal watch that goes with any outfit. Nice weight, too. A very timeless piece.,Excellent product!, Had bought a Movado watch in the past and really liked the product style and quality. Decided to buy this one and it justifies the price.,The Perfect Gift, I gave this gift to my fiance before our wedding. It's a classic Movado piece, but the dark color makes it really eye catching. Looks just as great in person as online and goes great with almost anything. He loved it because it stands out as a unique piece vs a watch you could get anywhere. I would highly recommend.,Gorgeous watch-my boyfriend loves it!, I was looking for a special gift for our one year anniversary. I knew he had been checking out the Movado BOLD collection. This watch in gunmetal is simply stunning-it is sleek and polished and can be worn Day and night. He was thrilled and it looks fantastic. Very happy with this purchase!,So modern, Amazing quality! You can really feel it with the weight! I bought this for my fiancé for Christmas and he absolutely loved it! I’d recommend movado watches to anyone that wants that modern look without being too flashy,Great Watch for Young and Old, This watch blends and balances the qualities of strength and style, professionalism and casualness, and simplicity and innovation--truly a rare combination! Our son loved this gift.,Movado, My husband had wanted a Movado watch for the longest time. To say he was happy with this purchase is an understatement. He loves it.,Great gift, Saw this watch and loved it. Had to buy it for my husband for Xmas hope he loves it as well.,Gorgeous Watch, I’m a huge fan of Movado already but the gunmetal is my fav. So sleek. My guy loves it!,Excellent, Excellent...... very pleased with this watch. perfect size for me and really nice.,Fabulous looking watch!, I purchased this watch for my father's 75th birthday.
Elegant looking.",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-bold-gray-ion-plated-stainless-steel-bracelet-watch-43mm-3600259?ID=2539390&CategoryID=65993&isDlp=true,Men's Swiss Bold Gray Ion-Plated Stainless Steel Bracelet Watch 43mm 3600259
"Movement: Swiss quartz,Case: round; 40mm,Strap: black PVD mesh bracelet; approx. width: 21mm,Closure: deployment buckle,Dial: Museum® with curved dot marker,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear.,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10184600","Movado's iconic minimalism is on display with this sleek, all-black Museum collection timepiece. Style #0607395",$995.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-museum-black-pvd-mesh-bracelet-watch-40mm?ID=10184600&CategoryID=65993&isDlp=true,Men's Swiss Museum Black PVD Mesh Bracelet Watch 40mm
"Movement: Swiss quartz,Case: round gray ion-plated steel; 35mm,Strap: taupe kappa leather with tongue buckle,Dial: Museum with flat dot marker ,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 8425641",A smoky colored leather and steel watch with Movado's famed minimalist design. From the BOLD collection. Style #3600593,$450.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-taupe-nappa-leather-strap-watch-35mm?ID=8425641&CategoryID=65993&isDlp=true,Women's Swiss BOLD Taupe Nappa Leather Strap Watch 35mm
"Movement: Swiss quartz,Case: round; 39mm,Strap: silver-tone & gold-tone stainless steel bracelet ,Dial: black Museum with diamond-accent indices,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Get FREE watch sizing at Macy’s stores—just show us your Macy’s Proof-of-Purchase .,Don’t have your proof-of-purchase? Then pay just $15,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at: 1-800-BUY-MACY (1-800-289-6229), use Macy's Chat function or visit any Macy's store with your dated online receipt.,Photo may have been enlarged and/or enhanced.,Almost all gemstones have been treated to enhance their beauty and require special care.,Web ID: 6642585",Movado's time-honored Museum dial is adorned with eleven diamond-accents on this elegant two-tone stainless steel watch from the Esperanza collection. Style #0607191,"$1,495.00",100%,1,"Classic Movado, I have been looking for a black face Movado with a two tone bracelet and they finally made it! [This review was collected as part of a promotion.]",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-esperanza-diamond-accent-two-tone-stainless-steel-bracelet-watch-39mm?ID=6642585&CategoryID=65993&isDlp=true,Men's Swiss Esperanza Diamond-Accent Two-Tone Stainless Steel Bracelet Watch 39mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: black ion-plated stainless steel bracelet; approx. width: 21mm,Closure: push-button deployment,Dial: exposed movement with date window,Water resistance: to 30 meters,Warranty: 2-year limited,Sign up for Macy's Worry No More Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at 1.800.BUY.MACYS (1.800.289.6229), use Macy's Chat function, or visit any Macy's store with your dated online receipt.,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $15.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 10339610","The next step in timepiece innovation, Movado's Bold Evolution watch shows off its Swiss-made movement with an exposed dial.  Style #3600677",$795.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-bold-evolution-black-ion-plated-stainless-steel-bracelet-watch-40mm?ID=10339610&CategoryID=65993&isDlp=true,Men's Swiss Bold Evolution Black Ion-Plated Stainless Steel Bracelet Watch 40mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: black PVD stainless steel bracelet ,Dial: black Museum,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at: 1-800-BUY-MACY (1-800-289-6229), use Macy's Chat function or visit any Macy's store with your dated online receipt.,Photo may have been enlarged and/or enhanced.,Web ID: 6190559",Movado's Ultra Slim timepiece features a particularly thin case framed by a gorgeous black stainless steel H-Link bracelet. Style #0607210,"$1,095.00",None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-ultra-slim-black-pvd-stainless-steel-bracelet-watch-40mm?ID=6190559&CategoryID=65993&isDlp=true,Men's Swiss Ultra Slim Black PVD Stainless Steel Bracelet Watch 40mm
"Yellow gold-tone ion-plated stainless steel link bracelet; deployant clasp,Round yellow gold-tone ion-plated stainless steel case, 30mm,K1 crystal with a ring of highly reflective gold-tone metallization,Yellow gold-tone sunray Museum dial with two yellow gold-tone hands and sunray dot,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 4464197","Movado's iconic style takes on new sophistication in this modern, monochromatic Bold collection watch with a gleaming sunray dial and signature dot logo.",$595.00,53%,3,"Color fade way, I use this watch when I go out only. But the yellow color faded away as well as there were many scratches. It’s expensive but quality is poor.,Color Fades away, Color fades away very quickly. It's a beautiful watch, but I wouldn't recommend it to buy it.,Fantastic features, This is a beautiful watch and I am getting lots of compliments. [This review was collected as part of a promotion.]",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-yellow-gold-tone-stainless-steel-bracelet-watch-30mm-3600434?ID=4464197&CategoryID=65993&isDlp=true,Women's Swiss Bold Yellow Gold-Tone Stainless Steel Bracelet Watch 30mm 3600434
"Movement: Swiss three-hand quartz,Case: round; 42mm,Strap: blue ion-plated stainless steel bracelet; approx. width: 22mm,Closure: push-button deployment,Dial: blue chronograph,Water resistance: to 30 meters,Warranty: 2-year limited,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $48.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10353346",Another masterwork of timepiece innovation from Movado's Bold Evolution collection. Style #3600683,$895.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-bold-evolution-blue-ion-plated-steel-bracelet-watch-42mm?ID=10353346&CategoryID=65993&isDlp=true,Men's Swiss Chronograph Bold Evolution Blue Ion-Plated Steel Bracelet Watch 42mm
"Movement: Swiss three-hand quartz,Case: round; 43mm; green-tone bezel,Strap: stainless steel bracelet with gold-tone accents; approx. width: 21mm,Closure: push-button deployment,Dial: green with date window,Water resistance: to 50 meters,Warranty: 2-year limited,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $15.,Limited Edition,Created for Macy's,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10000970","Inspired from the Movado archives – Introducing the New Movado 43mm Heritage Series Calendoplan, known for its minimalist design and classic sport style on either bracelet or strap. New & created for Macy's. Limited-edition watch drop. We've put together an extraordinary selection of limited-edition iconic timepieces that have been re-imagined & are available only at Macy's-but only for a limited time.",$895.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/limited-edition-movado-swiss-heritage-series-calendoplan-two-tone-stainless-steel-bracelet-watch-43mm-created-for-macys?ID=10000970&CategoryID=65993&isDlp=true,"LIMITED EDITION Swiss Heritage Series Calendoplan Two-Tone Stainless Steel Bracelet Watch 43mm, Created for Macy's"
"Movement: Swiss three-hand quartz,Case: round black ion-plated steel; 42mm,Strap: black silicone,Closure: tongue buckle,Dial: black with date window,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10094711",Movado's luxurious sport watch boasts all-black silicone and steel and Swiss-made movement. From the Bold collection. Style #3600621,$595.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-fusion-swiss-bold-black-silicone-strap-watch-42mm?ID=10094711&CategoryID=65993&isDlp=true,Men's Fusion Swiss Bold Black Silicone Strap Watch 42mm
