watch_model,model_number,color,in_stock,price,description,bullet_details,review_count,rating,review_text,url
"Bold Leather Strap Watch Set, 42mm",5247107,Cognac/ Green/ Black,Yes,$337.50,"A signature Museum dot at 12 o'clock accents the radiant sunray dial of an elegantly understated timepiece. Three interchangeable leather straps—brown, green and black—allow you to style your watch in the color of your choice.","42mm case
Includes three leather straps
Buckle closure
Swiss quartz movement
K-1 mineral crystal face
Stainless steel/leather
Imported
Item #5825153",1,5,"['Xmas success\nGot as a gift for my husband he loves it. Casual enough for every day with the high end sleekness we’ve come to expect from Movado\nMidAZ85 Sweepstakes entry\nApr 11, 2020']",https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-set-42mm/5247107?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=cognac%2F%20green%2F%20black
"Bold Bracelet Watch, 34mm",5402199,Gold,Yes,$455.00,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"34mm case; 15mm band width
Deployant clasp closure
Swiss movement
Mineral crystal face
Stainless steel/ionic plate
Imported
Item #5923953",1,5,"['Beautiful and timeless piece\nI have been looking at this watching for quite some time. Finally got it ! It’s beautiful:) I am so excited to wear it everywhere. It’s extremely versatile which is what i love the most about this watch and it’s a good price too !\nFloral28 Sweepstakes entry\nApr 20, 2020']",https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5402199?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20gold
"Bold Bracelet Watch, 34mm",5402199, Silver/ Gold,Yes,$455.00,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"34mm case; 15mm band width
Deployant clasp closure
Swiss movement
Mineral crystal face
Stainless steel/ionic plate
Imported
Item #5923953",1,5,"['Beautiful and timeless piece\nI have been looking at this watching for quite some time. Finally got it ! It’s beautiful:) I am so excited to wear it everywhere. It’s extremely versatile which is what i love the most about this watch and it’s a good price too !\nFloral28 Sweepstakes entry\nApr 20, 2020']",https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5402199?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20gold
"Bold Bracelet Watch, 34mm",5402199, Silver/ Rose Gold,Yes,$455.00,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"34mm case; 15mm band width
Deployant clasp closure
Swiss movement
Mineral crystal face
Stainless steel/ionic plate
Imported
Item #5923953",1,5,"['Beautiful and timeless piece\nI have been looking at this watching for quite some time. Finally got it ! It’s beautiful:) I am so excited to wear it everywhere. It’s extremely versatile which is what i love the most about this watch and it’s a good price too !\nFloral28 Sweepstakes entry\nApr 20, 2020']",https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5402199?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20gold
"Bold Evolution Leather Strap Watch, 40mm",5402239,Black/ Gold/ Black,Yes,$416.50,"Movado's elegant take on industrial style, this Swiss-quartz timepiece is designed with an exposed center gear rounded by the date number track. The iconic Museum dot shines within the brushed golden border while a topstitched leather strap gives the watch timeless appeal.","40mm case; 21mm band width
Buckle closure
Swiss quartz movement
Date function
Mineral crystal face
Stainless steel with black ionic plate/leather
Imported
Item #5924043",0,NA,[],https://shop.nordstrom.com/s/movado-bold-evolution-leather-strap-watch-40mm/5402239?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=black%2F%20gold%2F%20black
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5402190,Gold/ Beige/ Gold,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949",1,5,"['BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5402190?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20beige%2F%20gold
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5402190, Silver,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949",1,5,"['BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5402190?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20beige%2F%20gold
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5402190, Silver/ Blush,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949",1,5,"['BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5402190?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20beige%2F%20gold
"Museum Mesh Strap Watch, 40mm",4944940,Silver/ Black/ Silver,Yes,$556.50,The signature Museum dot strikes the hour on the beautiful black dial of this gleaming stainless steel watch set on a coordinating mesh strap. The Swiss-crafted design and movement provide a high standard of quality with stylish precision and presentation.,"44mm case; 21mm band width
Deployant clasp closure
Swiss quartz movement
Sapphire crystal face
Stainless steel
Swiss made
Item #5234161",2,5,"['classy\nAbsolutely love this watch. Got it for my husband, he loves it. Looks great, sleek and classy.\nlovelove224 Sweepstakes entry\nFeb 17, 2020', 'Lifestyle where quality is priority!\nLess is more! Is a lifestyle that if applied in life can give you more than time.\nThinkcare Sweepstakes entry\nSept 17, 2018']",https://shop.nordstrom.com/s/movado-museum-mesh-strap-watch-40mm/4944940?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20black%2F%20silver
"Bold Ceramic Bracelet Watch, 36mm",4945350,Blush Pink,Yes,$486.50,"Jewels inset the signature Museum dot at 12 o'clock on this minimalist timepiece encased in ceramic and fitted with a sleek, matching bracelet.","36mm case; 18mm band width
Deployant clasp closure
Three-hand quartz movement
K1 mineral crystal face
Ceramic/stainless steel
Imported
Item #5234902",11,5,"['LOVE!\nThis is my second Movado watch and I love it! Good quality. Nice size. Love the shade of blush\nPhillyAtl Sweepstakes entry\nApr 17, 2020', 'Love Movado watch\nLove this pink watch, get compliments when I wear it.\nMaria907AK Sweepstakes entry\nDec 13, 2019', ""Simple and Beautiful\nThis watch is really elegant. Many other ceramic watches from other brands have some other design elements that can look gaudy. This watch is a great weight, simple yet bold, and the blush color is really pretty. It's not pink, it's a very champagne tinged blush color. I've seen the white and black in the store too and those look just as pretty (with different feels, because of the color). I've never been able to find a ceramic watch that I finally invested in and loved, until now.\nTaiwanMama Sweepstakes entry\nSept 16, 2019"", ""Elegant with Style\nLove my Blush Pink Movado Bold! I went shopping for a bracelet but couldn't resist this ceramic beauty. The color doesn't scream pink (it's more of a pink-champagne) is SO attractive. The size is large but not too big and I've received compliments every time I've worn it. Don't hesitate to purchase this watch. I'm extremely pleased with my Movado Bold.\nMichgal1 Sweepstakes entry\nMay 25, 2019"", 'beautiful piece\nHighly recommend. I purchased as a Mother’s Day present. It fits my mother beautifully. Really a great piece\nfablilannie Sweepstakes entry\nMay 11, 2019', ""Great casual watch\nI found this watch in the blush pink at another store and wished it came in white, which ut dies and I got it here at Nordstrom. I adore it!!! I don't have anything like it --I have delicate gold and silver watches. I love wearing it with jogger pants, track pants, and of course jeans. I've also received several compliments on it so far.\nCAmom40s Sweepstakes entry\nApr 30, 2019"", ""A forever watch.\nA forever watch. I cannot seem to recover from how THRILLED I am with this purchase...I just keep gazing at it as if I am in love.....and I am. At $595, definitely a splurge for me, but I have admired Movado watches for a couple decades, tried to appease myself with less expensive sleek, modern-look costume jewelry watches, and have even come very close to buying a Movado Bold in silver/rose gold during the Anniversary sale. I am sooooo glad I didn't, because this white watch is hands-down (pun intended) BEYOND STUNNING. I rarely am this pleased with any purchase I've ever made, perhaps with the exception of my Jura espresso machine, and that is saying something. :)\nKaren43 Sweepstakes entry\nFeb 17, 2019"", ""Movado\nIt's a classy watch I get so many compliments on it !\nJaranda\nFeb 5, 2019"", 'Awsome watch\nThe watch is amazing my wife loves it so much detail to it\nWatchanista Sweepstakes entry\nOct 25, 2018', ""IN LOVE\nI'm completely in LOVE with this watch... I always wanted a white watch and this watch is perfect! It's beautiful! Looks crisp and clean at all time! I also get lots of compliments\nGlamoureyez\nOct 3, 2018"", 'Elegant every day watch\nI received this watch as a gift. It is absolutely beautiful! It’s elegant, yet perfect for everyday use. The blush color is unique and a nice neutral that you can pair with most everything. It also has a slight pearl finish, which is lovely!\nBambi9 Sweepstakes entry\nJuly 8, 2018']",https://shop.nordstrom.com/s/movado-bold-ceramic-bracelet-watch-36mm/4945350?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=white
"Bold Ceramic Bracelet Watch, 36mm",4945350,White,Yes,$521.25,"Jewels inset the signature Museum dot at 12 o'clock on this minimalist timepiece encased in ceramic and fitted with a sleek, matching bracelet.","36mm case; 18mm band width
Deployant clasp closure
Three-hand quartz movement
K1 mineral crystal face
Ceramic/stainless steel
Imported
Item #5234902",11,5,"['LOVE!\nThis is my second Movado watch and I love it! Good quality. Nice size. Love the shade of blush\nPhillyAtl Sweepstakes entry\nApr 17, 2020', 'Love Movado watch\nLove this pink watch, get compliments when I wear it.\nMaria907AK Sweepstakes entry\nDec 13, 2019', ""Simple and Beautiful\nThis watch is really elegant. Many other ceramic watches from other brands have some other design elements that can look gaudy. This watch is a great weight, simple yet bold, and the blush color is really pretty. It's not pink, it's a very champagne tinged blush color. I've seen the white and black in the store too and those look just as pretty (with different feels, because of the color). I've never been able to find a ceramic watch that I finally invested in and loved, until now.\nTaiwanMama Sweepstakes entry\nSept 16, 2019"", ""Elegant with Style\nLove my Blush Pink Movado Bold! I went shopping for a bracelet but couldn't resist this ceramic beauty. The color doesn't scream pink (it's more of a pink-champagne) is SO attractive. The size is large but not too big and I've received compliments every time I've worn it. Don't hesitate to purchase this watch. I'm extremely pleased with my Movado Bold.\nMichgal1 Sweepstakes entry\nMay 25, 2019"", 'beautiful piece\nHighly recommend. I purchased as a Mother’s Day present. It fits my mother beautifully. Really a great piece\nfablilannie Sweepstakes entry\nMay 11, 2019', ""Great casual watch\nI found this watch in the blush pink at another store and wished it came in white, which ut dies and I got it here at Nordstrom. I adore it!!! I don't have anything like it --I have delicate gold and silver watches. I love wearing it with jogger pants, track pants, and of course jeans. I've also received several compliments on it so far.\nCAmom40s Sweepstakes entry\nApr 30, 2019"", ""A forever watch.\nA forever watch. I cannot seem to recover from how THRILLED I am with this purchase...I just keep gazing at it as if I am in love.....and I am. At $595, definitely a splurge for me, but I have admired Movado watches for a couple decades, tried to appease myself with less expensive sleek, modern-look costume jewelry watches, and have even come very close to buying a Movado Bold in silver/rose gold during the Anniversary sale. I am sooooo glad I didn't, because this white watch is hands-down (pun intended) BEYOND STUNNING. I rarely am this pleased with any purchase I've ever made, perhaps with the exception of my Jura espresso machine, and that is saying something. :)\nKaren43 Sweepstakes entry\nFeb 17, 2019"", ""Movado\nIt's a classy watch I get so many compliments on it !\nJaranda\nFeb 5, 2019"", 'Awsome watch\nThe watch is amazing my wife loves it so much detail to it\nWatchanista Sweepstakes entry\nOct 25, 2018', ""IN LOVE\nI'm completely in LOVE with this watch... I always wanted a white watch and this watch is perfect! It's beautiful! Looks crisp and clean at all time! I also get lots of compliments\nGlamoureyez\nOct 3, 2018"", 'Elegant every day watch\nI received this watch as a gift. It is absolutely beautiful! It’s elegant, yet perfect for everyday use. The blush color is unique and a nice neutral that you can pair with most everything. It also has a slight pearl finish, which is lovely!\nBambi9 Sweepstakes entry\nJuly 8, 2018']",https://shop.nordstrom.com/s/movado-bold-ceramic-bracelet-watch-36mm/4945350?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=white
"Bold Chronograph Leather Strap Watch, 42mm",5415004,Black,Yes,$455.00,"Offering sophisticated functionality, this timepiece boasts an accurate Swiss movement, clean chronograph sunray dial and iconic Museum dot.","42mm case; 21mm band width
Buckle closure
Swiss quartz movement
Date window
Day, 60-minute and 30-minute subdials
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923947_1",1,5,"[""Super classy, sophisticated, stylish & unique\nBeautifully-made watch. Very classy. Got it as a gift for my boyfriend who I have never seen wear a watch, now he wears this everyday! Movado has gorgeous watches in general and I could not for the life of me decide which one to get, but I picked the blue because it's unique - I have never seen a navy-faced watch executed so well. I love navy and brown colors together. Also love the chronograph details. The color in the photo definitely appears to be lighter than in person. It is actually a darker shade, and the lines and hands and not as visible than in the photo, but this doesn't affect how much we love it!\nnina_nyc Sweepstakes entry\nJan 8, 2020""]",https://shop.nordstrom.com/s/movado-bold-chronograph-leather-strap-watch-42mm/5415004?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=black
"Amorosa Bangle Watch, 24mm",4776696,Silver/ Black/ Silver,Yes,$346.50,"Stunning simplicity and elegance define this delicately curved Swiss-made watch featuring a dark Museum dial, split bangle and high-shine finish.","24mm case
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Fold-over jewelry clasp closure
Swiss quartz movement
Sapphire crystal face
Stainless steel
Swiss made
Item #5482782",1,1,"['Bad watch or bad Nordstrom service\nAfter many problems with the buckle, and taking it back to Nordstrom to fix it, I ended up loosing the watch. I’m so disappointed, I wish had not wasted my $ on this watch and had invested in something of higher quality that I could have for many years.\nBlueTi Sweepstakes entry\nDec 7, 2019']",https://shop.nordstrom.com/s/movado-amorosa-bangle-watch-24mm/4776696?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20black%2F%20silver
"Bold Bracelet Watch, 34mm",5679085,Silver,Yes,$385.00,A textured outer ring and signature Museum dot at 12 o'clock accent the radiant sunray dial of an elegantly understated timepiece in a highly polished case with a matching bracelet.,"34mm case; 15mm band width
Deployant clasp closure
Swiss quartz movement
K-1 mineral crystal face
PVD stainless steel
Imported
Item #5612270_3",0,NA,[],https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5679085?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
